Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,47708,21.41%
PARÁ,38603,17.33%
MARANHÃO,16817,7.55%
AMAZONAS,16729,7.51%
TOCANTINS,12093,5.43%
MATO GROSSO DO SUL,12080,5.42%
RONDÔNIA,11145,5.00%
PIAUÍ,9317,4.18%
ACRE,9193,4.13%
MINAS GERAIS,8737,3.92%
BAHIA,7912,3.55%
SÃO PAULO,6123,2.75%
GOIÁS,6008,2.70%
CEARÁ,3979,1.79%
RIO GRANDE DO SUL,3612,1.62%
PARANÁ,3519,1.58%
SANTA CATARINA,2425,1.09%
RORAIMA,1930,0.87%
PERNAMBUCO,1017,0.46%
PARAÍBA,910,0.41%
AMAPÁ,750,0.34%
RIO DE JANEIRO,693,0.31%
RIO GRANDE DO NORTE,664,0.30%
ESPÍRITO SANTO,401,0.18%
DISTRITO FEDERAL,196,0.09%
ALAGOAS,159,0.07%
SERGIPE,77,0.03%
