Campo,Valor,Porcentagem do Total de Focos
2019/12/30 - 2020/01/05,241,0.11%
2020/01/06 - 2020/01/12,684,0.31%
2020/01/13 - 2020/01/19,970,0.44%
2020/01/20 - 2020/01/26,502,0.23%
2020/01/27 - 2020/02/02,650,0.29%
2020/02/03 - 2020/02/09,555,0.25%
2020/02/10 - 2020/02/16,917,0.41%
2020/02/17 - 2020/02/23,641,0.29%
2020/02/24 - 2020/03/01,529,0.24%
2020/03/02 - 2020/03/08,750,0.34%
2020/03/09 - 2020/03/15,1135,0.51%
2020/03/16 - 2020/03/22,796,0.36%
2020/03/23 - 2020/03/29,733,0.33%
2020/03/30 - 2020/04/05,1177,0.53%
2020/04/06 - 2020/04/12,765,0.34%
2020/04/13 - 2020/04/19,632,0.28%
2020/04/20 - 2020/04/26,1095,0.49%
2020/04/27 - 2020/05/03,1144,0.51%
2020/05/04 - 2020/05/10,643,0.29%
2020/05/11 - 2020/05/17,769,0.35%
2020/05/18 - 2020/05/24,842,0.38%
2020/05/25 - 2020/05/31,1352,0.61%
2020/06/01 - 2020/06/07,1089,0.49%
2020/06/08 - 2020/06/14,1529,0.69%
2020/06/15 - 2020/06/21,1943,0.87%
2020/06/22 - 2020/06/28,1994,0.89%
2020/06/29 - 2020/07/05,1879,0.84%
2020/07/06 - 2020/07/12,2049,0.92%
2020/07/13 - 2020/07/19,3038,1.36%
2020/07/20 - 2020/07/26,4588,2.06%
2020/07/27 - 2020/08/02,7975,3.58%
2020/08/03 - 2020/08/09,12024,5.40%
2020/08/10 - 2020/08/16,10625,4.77%
2020/08/17 - 2020/08/23,11160,5.01%
2020/08/24 - 2020/08/30,11640,5.22%
2020/08/31 - 2020/09/06,15228,6.83%
2020/09/07 - 2020/09/13,26122,11.72%
2020/09/14 - 2020/09/20,16322,7.33%
2020/09/21 - 2020/09/27,6812,3.06%
2020/09/28 - 2020/10/04,17987,8.07%
2020/10/05 - 2020/10/11,14233,6.39%
2020/10/12 - 2020/10/18,7308,3.28%
2020/10/19 - 2020/10/25,4789,2.15%
2020/10/26 - 2020/11/01,4389,1.97%
2020/11/02 - 2020/11/08,2939,1.32%
2020/11/09 - 2020/11/15,4407,1.98%
2020/11/16 - 2020/11/22,2861,1.28%
2020/11/23 - 2020/11/29,2741,1.23%
2020/11/30 - 2020/12/06,3131,1.41%
2020/12/07 - 2020/12/13,1843,0.83%
2020/12/14 - 2020/12/20,1339,0.60%
2020/12/21 - 2020/12/27,715,0.32%
2020/12/28 - 2021/01/03,576,0.26%
