Campo,Valor,Porcentagem do Total de Focos
CORUMBÁ (MATO GROSSO DO SUL),8238,12.48%
POCONÉ (MATO GROSSO),5641,8.55%
SÃO FÉLIX DO XINGU (PARÁ),5290,8.01%
ALTAMIRA (PARÁ),4865,7.37%
BARÃO DE MELGAÇO (MATO GROSSO),3737,5.66%
PORTO VELHO (RONDÔNIA),3428,5.19%
APUÍ (AMAZONAS),2794,4.23%
CÁCERES (MATO GROSSO),2755,4.17%
NOVO PROGRESSO (PARÁ),2376,3.60%
LÁBREA (AMAZONAS),2361,3.58%
COLNIZA (MATO GROSSO),1873,2.84%
ITAITUBA (PARÁ),1799,2.73%
NOVO ARIPUANÃ (AMAZONAS),1793,2.72%
FEIJÓ (ACRE),1558,2.36%
SANTO ANTÔNIO DO LEVERGER (MATO GROSSO),1397,2.12%
MANICORÉ (AMAZONAS),1320,2.00%
BOCA DO ACRE (AMAZONAS),1246,1.89%
GAÚCHA DO NORTE (MATO GROSSO),1187,1.80%
PORTEL (PARÁ),1162,1.76%
MIRADOR (MARANHÃO),1136,1.72%
SENA MADUREIRA (ACRE),1109,1.68%
PORTO MURTINHO (MATO GROSSO DO SUL),1093,1.66%
NOVA MAMORÉ (RONDÔNIA),1028,1.56%
TARAUACÁ (ACRE),1023,1.55%
PARANATINGA (MATO GROSSO),1017,1.54%
ARIPUANÃ (MATO GROSSO),1001,1.52%
PACAJÁ (PARÁ),985,1.49%
HUMAITÁ (AMAZONAS),979,1.48%
ALTO PARNAÍBA (MARANHÃO),961,1.46%
JACAREACANGA (PARÁ),860,1.30%
